0.035001,0.035001,0.000001,0.000001,0.035001,0.000001,0.000001,0.000001,0
0.000001,0.000001,0,0.035,0.000001,0.000001,0.035001,0.035001,0.000001
-0.0102300097,0.035,0.0334706665,0.000003,0.035,0,-0.0102320097,0.000002,0.0334706665
0.000003,0.035,0,0,0,0,-0.0102320097,0.000002,0.0334706665
0.035001,0.035,0,0.0452340097,0.035,0.0334706665,0.035001,0,0.000001
0.0452340097,0.035,0.0334706665,0.0452330097,0,0.0334706665,0.035001,0,0.000001
0,0,0,0.035001,0,0.000001,0.000001,-0.0102330097,0.0334706665
0.035001,0,0.000001,0.035,-0.0102330097,0.0334706665,0.000001,-0.0102330097,0.0334706665
0.035001,0.035,0,0.000003,0.035,0,0.035001,0.0452330097,0.0334706665
0.000003,0.035,0,0.000003,0.0452330097,0.0334706665,0.035001,0.0452330097,0.0334706665
