0.035001,0.035001,0.000001,0.000001,0.035001,0.000001,0.000001,0.000001,0
0.000001,0.000001,0,0.035,0.000001,0.000001,0.035001,0.035001,0.000001
-0.0090556666,0.035,0.0338074039,0.000003,0.035,0,-0.0090576666,0.000002,0.0338074039
0.000003,0.035,0,0,0,0,-0.0090576666,0.000002,0.0338074039
0.035001,0.035,0,0.0440596666,0.035,0.0338074039,0.035001,0,0.000001
0.0440596666,0.035,0.0338074039,0.0440586666,0,0.0338074039,0.035001,0,0.000001
0,0,0,0.035001,0,0.000001,0.000001,-0.0090586666,0.0338074039
0.035001,0,0.000001,0.035,-0.0090586666,0.0338074039,0.000001,-0.0090586666,0.0338074039
0.035001,0.035,0,0.000003,0.035,0,0.035001,0.0440586666,0.0338074039
0.000003,0.035,0,0.000003,0.0440586666,0.0338074039,0.035001,0.0440586666,0.0338074039
